Time,Open,High,Low,Close,Volume
1777261020000,79226.4,79233.2,79195.3,79195.3,1.01461876
1777260960000,79236.3,79254,79166.9,79226.4,7.49077661
1777260900000,79252.3,79252.4,79224.2,79236.3,2.94100039
1777260840000,79253.7,79266.2,79243.6,79252.3,2.14836476
1777260780000,79232.3,79271.8,79232.3,79256.1,5.35331084
1777260720000,79280.6,79280.6,79220.7,79232.4,2.54633474
1777260660000,79294.2,79307.9,79268.2,79280.5,2.97877177
1777260600000,79242.8,79294.2,79242.8,79294.2,6.55411405
1777260540000,79243.5,79249,79237.5,79242.8,1.12143804
1777260480000,79246.3,79246.8,79235.8,79243.4,2.04900835
1777260420000,79250.9,79260.4,79244.7,79246.3,3.42354843
1777260360000,79210.2,79251,79210.1,79250.9,1.19700376
1777260300000,79241.6,79249.9,79210.1,79210.1,1.82682005
1777260240000,79217.5,79243.1,79211.8,79241.7,2.69545261
1777260180000,79219.9,79248.3,79217.5,79217.5,3.18312423
1777260120000,79225.4,79249.7,79198.7,79220,2.99309594
1777260060000,79240.8,79271.3,79218.4,79218.4,6.41212721
1777260000000,79233.7,79243.1,79222.3,79240.9,0.65568016
1777259940000,79183.5,79253.9,79183.4,79233.8,8.05141473
1777259880000,79215,79223.2,79159.7,79180.8,5.90442637
1777259820000,79195.4,79259.1,79195.4,79214.9,4.70868877
1777259760000,79189.8,79203.4,79183.5,79195.3,1.36149837
1777259700000,79206.8,79206.9,79184.2,79189.9,0.78083355
1777259640000,79214.2,79250,79206.8,79206.9,3.54413656
1777259580000,79226.8,79226.8,79204.9,79214.1,2.00667044
1777259520000,79186.3,79230.2,79183.5,79226.9,3.5554462
1777259460000,79218,79218,79186.2,79186.2,0.44189174
1777259400000,79194.7,79218,79194.7,79218,1.23935068
1777259340000,79162.9,79194.6,79162.9,79194.6,0.9308111
1777259280000,79137.7,79179.7,79137.7,79162.9,1.67246189
1777259220000,79164.9,79165,79130.1,79137.7,0.69406206
1777259160000,79131.8,79167.1,79131.8,79165,0.81572579
1777259100000,79134.4,79138.4,79127.4,79131.9,2.49162144
1777259040000,79167.2,79167.3,79135.8,79135.8,1.12744187
1777258980000,79109,79167.3,79109,79167.2,0.70212965
1777258920000,79086,79109.1,79070,79109.1,0.64199705
1777258860000,79109.1,79116.5,79073.6,79086.1,0.62586715
1777258800000,79119.7,79146,79072.6,79110.1,6.04632329
1777258740000,79138.7,79149.3,79119.6,79119.7,0.68886
1777258680000,79147.5,79152.2,79138.6,79138.7,1.04425898
1777258620000,79169.3,79177.3,79141.6,79147.5,1.09463224
1777258560000,79152.4,79170,79147.4,79169.3,0.4756827
1777258500000,79191.6,79195,79152.3,79152.3,1.80952287
1777258440000,79174.8,79193.3,79174.8,79191.5,0.36656526
1777258380000,79167.8,79174.8,79163.7,79174.7,0.42538998
1777258320000,79098.3,79186,79098.2,79168,1.39454211
1777258260000,79072.3,79098.3,79072.2,79098.3,0.44908997
1777258200000,79090.1,79090.1,79072.3,79072.3,0.45557725
1777258140000,79085.4,79094.8,79066.1,79090.2,0.40707634
1777258080000,79065.8,79110.8,79060.1,79085.3,2.70265786
1777258020000,79102.3,79102.4,79056.9,79065.8,1.37158877
1777257960000,79081.5,79123.2,79081.1,79102.4,2.35593976
1777257900000,79061.4,79090.7,79053.5,79083.1,7.5679215
1777257840000,79043,79075.4,79042.9,79061.3,1.34165818
1777257780000,79043.4,79060,79043,79043,2.80979804
1777257720000,79074.1,79074.2,79043.5,79043.5,0.81806822
1777257660000,79064.2,79079.9,79060,79074.1,0.44151023
1777257600000,79068.2,79072.2,79064.1,79064.1,0.77011005
1777257540000,79088.7,79097.5,79060,79068.3,4.88041692
1777257480000,79054.9,79097.6,79035.6,79085.7,4.462135
1777257420000,79038.7,79092,79038.1,79054.9,0.95584784
1777257360000,79076.1,79076.1,79033.3,79038.8,1.08901478
1777257300000,79072.9,79076.5,79041.8,79076.1,1.07976026
1777257240000,79143.1,79145.1,79033.3,79076.5,1.78201024
1777257180000,79188.7,79188.7,79113.2,79143.1,1.15094965
1777257120000,79236.4,79244.1,79188.7,79188.8,1.06673617
1777257060000,79176.3,79244.1,79176.3,79236.3,2.49448176
1777257000000,79110,79176.3,79110,79176.3,1.88419629
1777256940000,79061.6,79110,79061.6,79109.9,0.44436229
1777256880000,79049.9,79061.7,79028.7,79061.7,2.25693934
1777256820000,79059.1,79059.2,79031.2,79050,2.02764589
1777256760000,79071.5,79083.2,79054.1,79059.1,1.64524424
1777256700000,79100,79100.1,79063.9,79071.6,1.55514795
1777256640000,79116.8,79122.1,79100,79100.1,1.96589259
1777256580000,79122.2,79128.7,79116.9,79116.9,1.98135286
1777256520000,79123,79128.8,79108,79122.2,0.49078811
1777256460000,79139.2,79139.2,79123.1,79123.1,1.37694866
1777256400000,79167.8,79167.8,79138.7,79139.1,0.94830251
1777256340000,79220.7,79220.7,79167.8,79167.8,0.82795897
1777256280000,79212.4,79244.1,79212.3,79220.7,4.35693356
1777256220000,79210,79217.3,79181.4,79212.4,1.6132129
1777256160000,79199,79210,79198.9,79210,0.93395593
1777256100000,79174.5,79199,79160.8,79198.9,1.16506751
1777256040000,79153.8,79218.1,79153.7,79174.4,6.83820242
1777255980000,79099.2,79153.8,79099.1,79153.8,5.18505356
1777255920000,79083.1,79109.7,79083,79099.1,0.70651895
1777255860000,79103.8,79103.8,79083,79083,2.0844594
1777255800000,79128.2,79128.3,79103.7,79103.8,0.81656468
1777255740000,79116.3,79128.3,79106,79128.2,1.82042261
1777255680000,79125.1,79139.5,79116.2,79116.3,0.41083628
1777255620000,79173.8,79189.9,79125,79125,1.65604095
1777255560000,79147.6,79172.2,79121.1,79172.2,1.34613282
1777255500000,79191.1,79191.1,79147.5,79147.5,1.57378996
1777255440000,79183.7,79198.2,79143.5,79191.1,1.9087371
1777255380000,79181.7,79198.7,79174.4,79183.7,0.79175815
1777255320000,79198.8,79198.8,79181.7,79181.7,1.50465729
1777255260000,79232,79246.1,79198.8,79198.9,2.40550839
1777255200000,79277.7,79297.8,79218.4,79230.3,6.5558706
1777255140000,79230,79290,79197.1,79279.2,6.66207397
1777255080000,79100.4,79243.9,79100.4,79230,8.29774458
